AirlineID,AirlineName.En,AirlineName.Zh_tw,AirlineNameAlias.En,AirlineNameAlias.Zh_tw,AirlineEmail,AirlineAddress,AirlinePhone,UpdateTime,VersionID,AirlineICAO,AirlineIATA,AirlineNationality
A5,Airlinair,,Airlinair,,"",,,2024-02-16T08:41:24+08:00,1252,RLA,A5,
A6,Air Alps Aviation,,Air Alps Aviation,,"",,,2024-02-16T08:41:24+08:00,1252,LPV,A6,
A8,Benin Golf Air,,Benin Golf Air,,"",,,2024-02-16T08:41:24+08:00,1252,BGL,A8,
A9,Georgian Airways,,Georgian Airways,,"",,,2024-02-16T08:41:24+08:00,1252,TGZ,A9,
AA,American Airlines,美國航空公司,American Airlines,美國航空,"",台北市長安東路一段25號11樓之1,02-25370121,2024-02-16T08:41:24+08:00,1252,AAL,AA,US
AB,airberlin,,airberlin,,"",,,2024-02-16T08:41:24+08:00,1252,BER,AB,
AC,Air Canada,加拿大航空,Air Canada,加拿大航空,"",,,2024-02-16T08:41:24+08:00,1252,ACA,AC,
AD,Azul Brazilian Airlines,安托諾夫航空,Azul Brazilian Airlines,安托諾夫航空,"",,,2024-02-16T08:41:24+08:00,1252,AZU,AD,
AE,Mandarin Airlines,華信航空股份有限公司,Mandarin Airlines,華信航空,"",台北市敦化北路405巷123弄3號,02-27171188,2024-02-16T08:41:24+08:00,1252,MDA,AE,TW
AF,Air France,法國航空,Air France,法國航空,"",,,2024-02-16T08:41:24+08:00,1252,AFR,AF,TW
AH,Air Algerie,,Air Algerie,,"",,,2024-02-16T08:41:24+08:00,1252,DAH,AH,
AI,Air India,印度航空,Air India,印度航空,"",,,2024-02-16T08:41:24+08:00,1252,AIC,AI,
AJ,Aero Contractors,,Aero Contractors,,"",,,2024-02-16T08:41:24+08:00,1252,NIG,AJ,
AK,AirAsia Berhad,馬亞洲航空,AirAsia Berhad,馬亞洲航空,"",,,2024-02-16T08:41:24+08:00,1252,AXM,AK,MY
AM,Aeromexico,,Aeromexico,,"",,,2024-02-16T08:41:24+08:00,1252,AMX,AM,
AO,Australian Airlines,,Australian Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,AUZ,AO,
AP,Air One,,Air One,,"",,,2024-02-16T08:41:24+08:00,1252,ADH,AP,
AR,Aerolineas Argentinas,,Aerolineas Argentinas,,"",,,2024-02-16T08:41:24+08:00,1252,ARG,AR,
AS,Alaska Airlines,,Alaska Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,ASA,AS,
AT,Royal Air Maroc,,Royal Air Maroc,,"",,,2024-02-16T08:41:24+08:00,1252,RAM,AT,
AU,Austral,,Austral,,"",,,2024-02-16T08:41:24+08:00,1252,AUT,AU,
AV,Avianca,哥倫比亞,Avianca,哥倫比亞,"",,,2024-02-16T08:41:24+08:00,1252,AVA,AV,
AX,Trans States Airlines,,Trans States Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,LOF,AX,
